epoch,train_loss,test_loss,person,person_p,spearman,spearman_p,rmse
1,0.8568512797355652,0.8896752595901489,0.08409012819155591,7.646065568654152e-09,0.0748332147422398,2.7718941935548143e-07,1.7734887599945068
2,0.8259330987930298,0.8546622395515442,0.093989818655332,1.0543374353204306e-10,0.08280224517713679,1.290562045471169e-08,1.7225935459136963
3,0.7968951463699341,0.8176623582839966,0.10083525685164307,4.15834322817742e-12,0.08912573105586245,9.164783070652453e-10,1.6624985933303833
4,0.7647472023963928,0.7752158641815186,0.10502619277192413,5.146999398744371e-13,0.09455393942441431,8.145559097695143e-11,1.5881364345550537
5,0.7273622751235962,0.7310194373130798,0.1055839647116767,3.8729971554815295e-13,0.09717229712702198,2.4112086757526658e-11,1.4977378845214844
6,0.6864843964576721,0.7013832330703735,0.10310929669703695,1.3523531654296126e-12,0.09598581730965768,4.202917463248465e-11,1.40035879611969
7,0.65830397605896,0.6781482100486755,0.10101863262134574,3.801709156991136e-12,0.0935654661115605,1.2789206372924234e-10,1.314548134803772
8,0.6329922080039978,0.6557743549346924,0.10006940711806392,6.036760121562222e-12,0.09179522899517614,2.835999290492769e-10,1.2445248365402222
9,0.6066093444824219,0.6340698003768921,0.10012838182877268,5.866526653946863e-12,0.09076053394005684,4.486281233151431e-10,1.19414222240448
10,0.5801740288734436,0.6140438914299011,0.09919089028067514,9.225942665979665e-12,0.08875660172489512,1.0750171514719104e-09,1.1632804870605469
11,0.5546764135360718,0.599795401096344,0.09728358832776221,2.2879722623514762e-11,0.08550365511424961,4.266145210064751e-09,1.154982566833496
12,0.5336192846298218,0.5885130167007446,0.09670839422896699,2.998694998264899e-11,0.0843496636832578,6.874100568378554e-09,1.1631993055343628
13,0.5155336260795593,0.5760372877120972,0.09645538231628864,3.3759296998756964e-11,0.08481245945306769,5.681381915360494e-09,1.1683416366577148
14,0.49799323081970215,0.5625953674316406,0.09572339934404561,4.748235860961384e-11,0.08501753394232092,5.21964674672962e-09,1.1760157346725464
15,0.48029881715774536,0.5489333868026733,0.09583943887241558,4.499059274866453e-11,0.08625414356008905,3.1177596089892994e-09,1.1881262063980103
16,0.4640263319015503,0.5340431928634644,0.0943406000840936,8.982064478531806e-11,0.08657236490532076,2.7273929421383375e-09,1.197137713432312
17,0.4459969699382782,0.517492413520813,0.09395209829885251,1.0726281771516206e-10,0.08786311100689269,1.577574129483721e-09,1.2147529125213623
18,0.42958900332450867,0.5044329762458801,0.09635845075607402,3.5324316909207084e-11,0.08945017471816745,7.961363341029312e-10,1.2610383033752441
19,0.41351741552352905,0.4933875799179077,0.09655720191557066,3.2188426631366434e-11,0.09020994224024409,5.714557667058985e-10,1.300007939338684
20,0.4014923572540283,0.4821034073829651,0.0952028738739254,6.04234739414264e-11,0.0906025080246206,4.809652875852844e-10,1.3131675720214844
21,0.39214685559272766,0.4783196449279785,0.0951018239333273,6.330841231178784e-11,0.08955579097278694,7.603959583522995e-10,1.3431035280227661
22,0.38321468234062195,0.4738941192626953,0.09547192536382215,5.335452018529188e-11,0.0905086283153667,5.012413192655355e-10,1.3613581657409668
23,0.37865591049194336,0.4708453118801117,0.09383789757601767,1.1299155550873523e-10,0.09036378579968098,5.341701923606056e-10,1.374788761138916
24,0.3759230375289917,0.4728356897830963,0.09500882135911143,6.60823509090894e-11,0.09096904712413022,4.091888607031734e-10,1.4118130207061768
